name,ja,zh
native.specifiedCommercialTransaction.messageSystemRequirements.beforeLink,本サービスは必ず,本サービスは必ず
native.specifiedCommercialTransaction.messageSystemRequirements.link,こちら,こちら
native.specifiedCommercialTransaction.messageSystemRequirements.afterLink,に記載の動作環境でご利用ください。,に記載の動作環境でご利用ください。
native.specifiedCommercialTransaction.message4,なお、動作環境でご利用の場合も、お客様のご利用状況やご利用端末特有の要因により、本サービスが正常に動作しないことがあります。\n\n本サービスはインターネットに接続できる環境でご利用ください。なお、通信料はお客様のご負担となります。\n\n                                                                            以上,なお、動作環境でご利用の場合も、お客様のご利用状況やご利用端末特有の要因により、本サービスが正常に動作しないことがあります。\n\n本サービスはインターネットに接続できる環境でご利用ください。なお、通信料はお客様のご負担となります。\n\n                                                                            以上
platformMenu.title,インフォメーション,Information
popJoinRecommend.textInvitation,招待機能を利用するには、enzaメンバー登録が必要です。,招待機能を利用するには、enzaメンバー登録が必要です。
popJoinRecommend.textTicketEntry,チケット応募にはenzaに登録する必要があります。,チケット応募にはenzaに登録する必要があります。
popPaymentLimitation.title,年齢別購入限度額,Age Purchase Limit
popPaymentLimitation.description,アプリ専用通貨等の購入には\n年齢別に限度額が設定されています。,アプリ専用通貨等の購入には\n年齢別に限度額が設定されています。
popPaymentLimitation.limitations,"16歳未満　：　1ヶ月5,400円まで\r16歳～19歳　：　1ヶ月21,600円まで\r20歳以上　：　限度なし","16歳未満　：　1ヶ月5,400円まで\r16歳～19歳　：　1ヶ月21,600円まで\r20歳以上　：　限度なし"
present.headerTitle,プレゼント,Present
present.noPresent.present,受け取れるプレゼントはありません,There are no presents to accept
present.noPresent.history,受け取り済みのプレゼントはありません,You have not received any presents
present.present.title,%{name} ×%{num},%{name} ×%{num}
present.present.presentNum,×%{num},×%{num}
present.present.noExpire,期限なし,No deadline
present.present.expireTime,%{expire}まで,Until %{expire}
present.main.count.title.received,受取済プレゼント,Total Received
present.main.count.title.unReceive,未受取プレゼント,Total Unclaimed
present.main.count.unit,件,x
present.main.notice,期限が切れたプレゼントは自動的に削除されます。\rまた、一度に受け取れるプレゼントは100件までです。,Expired presents are automatically deleted.\r\nYou can claim up to 100 presents at a time.
present.receive.title,プレゼント受け取り,Accept Presents
present.receive.message,以下のプレゼントを受け取りました,You received the following gifts
present.receive.itemNameNum,%{Name} ×%{Num},%{Name} ×%{Num}
present.receiveAllConfirm.title,プレゼント一括受け取り,Collect Bulk Gifts
present.receiveAllConfirm.text,プレゼントを新しいものから\r100件まで受け取ります。\rよろしいですか？,Claim the latest 100 gifts\r\nAre you sure?
present.receiveAll.title,プレゼント一括受け取り,Collect Bulk Gifts
present.receiveAll.message,以下のプレゼントを受け取りました,Received the following gifts
present.receiveAll.maxMessage,最大所持数を超えているため受け取れません,Cannot receive because it exceeds the max limit
present.receiveAll.maxMessageFooter,一部のプレゼントは最大所持数を超えているため\n受け取れませんでした,Some gifts exceeded their max limit\r\nThey could not be accepted
present.receiveAll.noPresentMessage,受け取れるプレゼントはありませんでした,There were no presents to receive
filterPop.filterTitle,絞り込み,Filter
filterPop.filter.friendship,絆,Bonds
filterPop.filter.recoveryStamina,体力,Stamina
filterPop.filter.recoveryTension,テンション,Tension
filterPop.filter.avoidTrouble,トラブル,Trouble
filterPop.filter.changeTrend,流行,Trend 
filterPop.filter.navigation,ナビゲート,Navigate
filterPop.filter.supportIdolsLottery,サポート,Support
filterPop.filter.memoryPointUp,思い出,Memory
filterPop.filter.defaultStatusUp,基礎能力,Base Stat
filterPop.filter.dance,Dance,Dance
filterPop.filter.vocal,Vocal,Vocal
filterPop.filter.visual,Visual,Visual
filterPop.filter.mental,メンタル,Mental
filterPop.filter.limitStaminaUp,体力,Stamina
filterPop.filter.placeAppearRate,レッスン・\nお仕事,Lesson・\nWork
filterPop.filter.commu,コミュ,Commu
produce.header.ideaNote.emptyNotice,使用していません,Not Used
produce.resumePop.progress,シーズン %{season} / 残り %{restOfSeasonWeek}週,Season %{season} / %{restOfSeasonWeek} Wks Left
produce.produceItemPop.titleConfirm,使用確認,Confirm Use
produce.produceItemPop.titleResult,プロデュースアイテム使用,Use Produce Item
produce.produceItemPop.messageConfirm,以下のアイテムを使用しますか？,Use this Produce Item?
produce.produceItemPop.messageResult,以下のアイテムを使用しました,Used this Produce Item.
produceHeader.produceSeason,シーズン %{seasonNum},Season %{seasonNum}
produceItemPreparation.filterTitle,絞り込み,Refine
produceItemPreparation.sortTitle,並び替え,Organize
produceItemPreparation.description.unselected,アイテムを選択していません,No items selected
produceItemPreparation.itemList.empty,プロデュースアイテムを所持していません,You don't own a Produce Item
produceItemPreparation.itemList.tips,プロデュースアイテムは、\r2つまで持っていくことができますよ〜,You are able to bring\r\nUp to 2 Produce Items~
produceItemPreparation.isNotRestricted,なし,Nothing
produceItemPreparation.isAreaRestricted,このアイテムは選択したプロデュースに\n持ち込むことができません,このアイテムは選択したプロデュースに\n持ち込むことができません
produceItemPreparation.sameEffectType,同じ効果のプロデュースアイテムを複数持ち込む\rことはできません,同じ効果のプロデュースアイテムを複数持ち込む\rことはできません
produceItemPreparation.beforeRelease,%{useOpenAt}以前は持ち込めません,Not available before %{useOpenAt}
produceTop.deadline.season,シーズン%{seasonNum},Season%{seasonNum}
produceTop.homeConfirmPop.title,ホームに戻る,Return Home
produceTop.homeConfirmPop.message,現在のプロデュース内容を保存して、\rホームに戻りますか？,現在のプロデュース内容を保存して、\rホームに戻りますか？
produceTop.restConfirmPop.title,確認画面,Confirm Screen
produceTop.restConfirmPop.message,アイドルを休ませますか？,Let Idol Rest?
produceTop.releasedCommentsPop.title,ボイス解放,Unlock Voice
produceTop.releasedCommentsPop.message,を解放しました\r\rホーム画面にて聞くことができます\rアイドルアルバムで再生のON/OFFが可能です,を解放しました\r\rホーム画面にて聞くことができます\rアイドルアルバムで再生のON/OFFが可能です
produceTop.concertConfirmPop.title,確認画面,Confirm Screen
produceTop.concertConfirmPop.message,ライブを開始しますか？,Start the Live?
produceTop.ideaNoteAlertPop.title,アイデアノート確認,Confirm Idea Note
produceTop.ideaNoteAlertPop.message.default,アイデアノートが設定されていません。\r新たなアイデアノートを設定しますか？,アイデアノートが設定されていません。\r新たなアイデアノートを設定しますか？
produceTop.ideaNoteAlertPop.message.complete,アイデアノートをコンプリートしました。\r新たなアイデアノートを設定しますか？,アイデアノートをコンプリートしました。\r新たなアイデアノートを設定しますか？
produceTop.ideaNoteAlertPop.message.expired,アイデアノートの期限が切れました。\n新たなアイデアノートを設定しますか？,アイデアノートの期限が切れました。\n新たなアイデアノートを設定しますか？
produceAction.auditionRule,特殊ルール,Special Rule
produceAction.auditionConditions,出場条件,Entry Condition
produceMain.supportSkillsDialogTitle,発動中サポートスキル,Active Support Skill
produceCostume.requirements,を\r最大まで特訓する,\r\nEvolve fully
produceCostume.casualCloth,私服衣装,Regular Outfit
produceCostume.idolCloth,ライブ衣装,Live Outfit
produceCostume.requirementsPopTitle,衣装解放条件,Outfit Unlock Condition
produceCostume.changePopTitle,衣装変更確認,Confirm Outfit Change
produceSeasonResult.ideaNote.season,シーズン%{seasonNum},Season%{seasonNum}
produceSeasonResult.ideaNote.emptyNotice,獲得できるアイデアノートが\rありません,獲得できるアイデアノートが\rありません
produceAreaSelect.openTime,%{years}年%{months}月%{days}日%{hours}:%{minutes}以降に,After %{years}y%{months}m%{days}d%{hours}:%{minutes}
fanMeeting.live.evaluation.fanMeeting.good_performance,MVP,MVP
fanMeeting.live.evaluation.fanMeeting.good_vocal,ベストボーカリスト,Best Vocalist
fanMeeting.live.evaluation.fanMeeting.good_dance,ベストダンサー,Best Dancer
fanMeeting.live.evaluation.fanMeeting.good_visual,ベストモデル,Best Model
fanMeeting.live.evaluation.fanMeeting.good_mental,ベストMC,Best MC
fanMeeting.live.evaluation.fanMeeting.good_skill,ベストテクニック,Best Technique
fanMeeting.live.evaluation.fanMeetingRehearsal.good_performance,グッドパフォーマンス,Good Performance
fanMeeting.live.evaluation.fanMeetingRehearsal.good_vocal,グッドボーカル,Good Vocal
fanMeeting.live.evaluation.fanMeetingRehearsal.good_dance,グッドダンス,Good Dance
fanMeeting.live.evaluation.fanMeetingRehearsal.good_visual,グッドビジュアル,Good Visual
fanMeeting.live.evaluation.fanMeetingRehearsal.good_mental,グッドメンタル,Good Mental
fanMeeting.live.evaluation.fanMeetingRehearsal.good_skill,グッドスキル,Good Skill
fanMeeting.helperSupportIdolFriendShipLevel,アイドルの絆：%{level},Idol Bonds：%{level}
fanMeeting.callHelperSupportIdol,（感謝祭の準備……\nちょっと人手が足りないみたいだったな……）,（感謝祭の準備……\nちょっと人手が足りないみたいだったな……）
fanMeeting.selectHelperSupportIdol,（手伝いを頼めたらいいんだけど……\n……誰がいいだろう……？）,（手伝いを頼めたらいいんだけど……\n……誰がいいだろう……？）
produceReady.fanMeetingIdolRestrictionPop.title,編成アイドル制限,Idol Organization Limit
produceReady.fanMeetingIdolRestrictionPop.text.produceIdol,上記アイドルは\nまだ「283プロファン感謝祭」で\nプロデュースアイドルに選択できません,上記アイドルは\nまだ「283プロファン感謝祭」で\nプロデュースアイドルに選択できません
produceReady.fanMeetingIdolRestrictionPop.text.supportIdol,上記アイドルは\nまだ「283プロファン感謝祭」で\nサポートアイドルに選択できません,上記アイドルは\nまだ「283プロファン感謝祭」で\nサポートアイドルに選択できません
profile.cardEditDialogTitle,名刺編集,Edit Card
profile.pfRecommend,名前を変更するには、データ連携が必要です,名前を変更するには、データ連携が必要です
profile.error.ngWord,\n禁止ワードが含まれています,\n禁止ワードが含まれています
profile.error.wordLength,\n入力文字数が不正です,\n入力文字数が不正です
profile.commentEditDialog.title,自己紹介編集,Edit Introduction
profile.commentEditDialog.commentDefault,よろしくお願いします,よろしくお願いします
profile.commentEditDialog.textLengthCount,%{count}/20,%{count}/20
profile.options.showUserName,プロデューサーネーム,Producer Name
profile.options.showUserTitle,称号,Title
profile.options.showProfileComment,自己紹介,Self Introduction
profile.options.showFesDeckRank,フェスユニット評価,Fes Unit Rank
profile.options.showUserGrade,最高到達グレード,Highest Grade
profile.options.showCharacterFan,ファン人数,Fan Count
userPolicy.title,利用規約,Terms of Service
userPolicy.warningText,ないようがわからないときは\nおうちのひとにがめんをみせてください。,ないようがわからないときは\nおうちのひとにがめんをみせてください。
shop.headerTitle,ショップ,Shop
shop.headerTitles.money,マニー,Money
shop.headerTitles.jewel,ジュエル,Jewel
shop.headerTitles.gameEvent,イベント,Event
shop.headerTitles.prevGameEvent,イベント,Event
shop.headerTitles.premium,プレミアム,Premium
shop.headerTitles.staffItemPoint,はづきさん,Hazuki-san
shop.headerTitles.memorialPiece,メモリアルピース,Memorial Piece
shop.headerTitles.exchangeItem,衣装,Outfit
shop.headerTitles.trade,リサイクル,Recycle
shop.shopDescriptions.money,マニーを使用してアイテムと交換できます,Can purchase items using in-game Money
shop.shopDescriptions.jewel,フェザージュエルを使用してアイテムと交換できます,Can purchase items using Feather Jewels
shop.shopDescriptions.gameEvent,イベントで入手したポイントとアイテムを交換できます,Can purchase items using Event Points
shop.shopDescriptions.premium,いろいろなお買い得アイテムを購入できます,Can purchase various bargain items
shop.shopDescriptions.staffItemPoint,はづきさんシールを使用してアイテムと交換できます,Can purchase items with Hazuki Seals
shop.shopDescriptions.memorialPiece,メモリアルピースを使用してアイテムと交換できます,Can purchase items with Memorial Pieces
shop.shopDescriptions.exchangeItem,特別な衣装の交換・確認ができます,Special Outfit Exchange・Verification
shop.shopDescriptions.trade,複数のアイテムを別のアイテムに変換できます,Convert various items into other items
shop.possessionLabel,所持%{currencyName},Owned %{currencyName}
shop.shopItem.jewel,ジュエル,Jewel
shop.shopItem.billedJewel,有償ジュエル,Paid Jewel
shop.shopItem.freeJewel,無償ジュエル,Free Jewel
shop.shopItem.piece,ピース,Piece
shop.shopItem.priceLabel,必要%{currencyName},%{currencyName} Req.
shop.shopItem.disableText.lack,%{currencyName}不足,Missing %{currencyName}
shop.salesItemText.2106,お一人様1つ限定！\n「1st Anniversary 10連ガシャチケット×1」に「SR特訓はづきさん（プロデュース）×1」と「ゴールドトレーニングチケット×20」がついてくる特別なパッケージです！,お一人様1つ限定！\n「1st Anniversary 10連ガシャチケット×1」に「SR特訓はづきさん（プロデュース）×1」と「ゴールドトレーニングチケット×20」がついてくる特別なパッケージです！
shop.salesItemText.2107,お一人様1つ限定！\n「ユニット別10連ガシャチケット×3」や「SSR特訓はづきさん（プロデュース）×1」「SSR特訓はづきさん（サポート）×1」などが入った特別なパッケージです！,お一人様1つ限定！\n「ユニット別10連ガシャチケット×3」や「SSR特訓はづきさん（プロデュース）×1」「SSR特訓はづきさん（サポート）×1」などが入った特別なパッケージです！
shop.salesItemText.2108,お一人様1つ限定！\n「10連ガシャチケット×1」に、好きなSSRアイドルを１人選べる「セレクションチケット」がついた、特別なパッケージです！,お一人様1つ限定！\n「10連ガシャチケット×1」に、好きなSSRアイドルを１人選べる「セレクションチケット」がついた、特別なパッケージです！
shop.salesItemText.2109,お一人様1つ限定！\n「10連ガシャチケット×1」に、選択した好きなユニットからSSRアイドルを確率で獲得できる「ユニット別SSR確定ガシャチケット×1」がついた、特別なパッケージです！,お一人様1つ限定！\n「10連ガシャチケット×1」に、選択した好きなユニットからSSRアイドルを確率で獲得できる「ユニット別SSR確定ガシャチケット×1」がついた、特別なパッケージです！
shop.salesItemDialog.remainingText1,あと,Remain
shop.salesItemDialog.remainingText2,で販売終了,At end of sale
shop.purchaseConfirmation.title,購入確認,Confirm Purchase
shop.purchaseConfirmation.message,%{currencyName}を消費して\n以下のアイテムを購入しますか？,%{currencyName}を消費して\n以下のアイテムを購入しますか？
shop.purchaseConfirmation.messageSimple,以下のアイテムを購入しますか？,以下のアイテムを購入しますか？
shop.purchaseConfirmation.notice.convertMerchandise,解放済みのコミュはアルバムの鍵に変換されます,解放済みのコミュはアルバムの鍵に変換されます
shop.purchaseConfirmation.notice.jewelMerchandise,無償フェザージュエルから先に消費されます,無償フェザージュエルから先に消費されます
shop.exchangeConfirmation.title,交換確認,Exchange Confirmation
shop.exchangeConfirmation.message,%{exchangeItemName}を消費して\n以下のアイテムと交換しますか？,%{exchangeItemName}を消費して\n以下のアイテムと交換しますか？
shop.banaCoinShopNotice,バナコイン決済とクレジットカードかんたん決済が使用できます,バナコイン決済とクレジットカードかんたん決済が使用できます
shop.purchaseError.purchaseCountOver,購入上限を超えています,購入上限を超えています
shop.purchaseError.possessionCountOver,所持上限を超えています,所持上限を超えています
shop.purchaseError.moneyShortage,マニーが足りません,Not enough Money
shop.useBanaCoinConfirmation.message,バナコインで以下のアイテムを%{purchaseCount}個購入します,バナコインで以下のアイテムを%{purchaseCount}個購入します
shop.purchaseResult.title,購入結果,Purchase Results
shop.purchaseResult.message,%{title}を購入しました,%{title}を購入しました
shop.purchaseResult.twoLinesMessage,%{title}を\r購入しました,%{title}を\r購入しました
shop.purchasableText.noLimitText,なし,None
shop.exchangeResult.title,交換結果,Exchange Result
shop.exchangeResult.message,%{title}と交換しました,%{title}と交換しました
shop.exchangeResult.twoLinesMessage,%{title}と\r交換しました,%{title}と\r交換しました
shop.currencyLabel.jewelType.billedJewel,有償,Paid
shop.currencyLabel.jewelType.freeJewel,無償,Free
shop.expireDate,【交換期限】%{closeAt}まで,【Restock】Until %{closeAt}
shop.noShopItem,交換可能なアイテムがありません。,交換可能なアイテムがありません。
recycleShop.tradeConfirmation.title,交換確認,Exchange Confirmation
recycleShop.tradeConfirmation.message,以下のアイテムを交換しますか？,以下のアイテムを交換しますか？
recycleShop.purchaseResult.title,交換結果,Exchange Results
recycleShop.purchaseResult.message,%{title}を交換しました,%{title}を交換しました
recycleShop.purchaseResult.twoLinesMessage,%{title}を\r交換しました,%{title}を\r交換しました
skillBord.header,振り返り,Reminisce
skillBord.acquireConfirmationTitle,スキル習得確認,Confirm Skill Purchase
skillBord.acquireConfirmationMessage,SPを%{skillPoint}消費してスキルを習得しますか？,Spend %{skillPoint}SP to purchase this skill？
skillBord.deleteSkillConfirmationTitle,スキル入れ替え確認,Confirm Skill Replace
skillBord.acquiredMessage,既に習得済みのスキルです。\r\n\r\nスキルポイントを消費せず、\r\nパネルの解放のみを行います。,This is a skill you have already learned.\r\n\r\nYou can unlock this skill\r\nWithout spending SP
skillBord.produceAreaSkillList.title,%{produceTitle} 限定スキル,%{produceTitle} exclusive skill
skin,衣装,Outfit
skinExchange.headerTitle,衣装ショップ,Outfit Shop 
skinExchange.noMerchandiseNotice,交換できる衣装がありません。,There are no exchangeable outfits.
skinExchange.shop.possessionMarkCaption,所持数,Num Owned
skinDetail.plainOnlyNotice,衣装変更対象は私服衣装のみとなり、ライブ衣装は変更されません。,衣装変更対象は私服衣装のみとなり、ライブ衣装は変更されません。
skinDetail.concertOnlyNotice,衣装変更対象はライブ衣装のみとなり、私服衣装は変更されません。,衣装変更対象はライブ衣装のみとなり、私服衣装は変更されません。
skinKind.plain,私服衣装,Regular Outfit
skinKind.concert,ライブ衣装,Live Outfit
specialCommunication.confirmationTitle,スペシャルコミュ再生確認,Confirm Special Commu Replay
specialCommunication.confirmationComment,%{title}\nが再生できます。\n\n再生しますか？,You can replay\r\n%{title}。\r\n\r\nReplay?
specialCommunication.achievementRewardDialogTitle,スペシャルコミュ再生報酬,Special Commu View Reward
speaker.producer,プロデューサー,Producer
speaker.ceo,社長,President
speaker.judge,審査員,Judge
spine.cb,ちびキャラ,Chibi Character
spine.cbCostume,ちびキャラ(ライブ),Chibi Character(Live)
spine.cbSub,ちびサブキャラ,Chibi Sub Character
spine.stand,等身キャラ,Live Character
spine.standSub,等身サブキャラ,Live Sub Character
titleSelect.result.message,称号を設定しました,Set Title
supportIdol.remaining,あと %{remaining},%{remaining} left
training.gainExpLabel,獲得Exp,Get XP
training.skillListTitle,習得するサポートスキル,Learn Support Skill
training.startConfirm,トレーニング確認,Confirm Training
training.resultTitle,トレーニング成功,Training Success
training.resultTitleGreat,トレーニング大成功,Training Great Success
trend.historyText,先週%{rank}位,Rank %{rank} Last Week
trend.txtNextFan,あと  %{count}人,%{count} More
tutorial.openingMessage.mes0,「アイドル」,「Idol」
tutorial.openingMessage.mes1,それは,それは
tutorial.openingMessage.mes2,女の子達の永遠の憧れ,女の子達の永遠の憧れ
tutorial.openingMessage.mes3,だがアイドルの頂点に立てるのは,だがアイドルの頂点に立てるのは
tutorial.openingMessage.mes4,ただ、1組……,ただ、1組……
tutorial.openingMessage.mes6,そんなサバイバルな世界に,そんなサバイバルな世界に
tutorial.openingMessage.mes7,今19人の女の子と,今19人の女の子と
tutorial.openingMessage.mes8,１人のプロデューサーが,１人のプロデューサーが
tutorial.openingMessage.mes9,足を踏み入れる！,足を踏み入れる！
tutorial.skipPop.message,次のチュートリアルまでスキップします\nよろしいですか？,次のチュートリアルまでスキップします\nよろしいですか？
tutorial.skipPop.title,確認,Confirm
tutorial.skipPop.warning1,各機能の説明はチュートリアル終了後も,各機能の説明はチュートリアル終了後も
tutorial.skipPop.warning3,から確認可能です。,から確認可能です。
tv.appearance,テレビ出演を果たした。\n,テレビ出演を果たした。\n
tv.appearanceAfter,アイドル達の魅力が引き出されたように感じる。,アイドル達の魅力が引き出されたように感じる。
tv.performanceComment,今話題のアイドルが登場！圧巻のパフォーマンスを披露！,今話題のアイドルが登場！圧巻のパフォーマンスを披露！
twitter.PINCodeDialog.title,Twitter連携,Twitter Link
twitter.PINCodeDialog.description,Twitterに投稿するには、PINコードを取得して\nTwitterとの連携を認証する必要があります,Twitterに投稿するには、PINコードを取得して\nTwitterとの連携を認証する必要があります
twitter.PINCodeDialog.PINCodeComment,取得したPINコードを入力してください,取得したPINコードを入力してください
twitter.PINCodeDialog.textBoxDefaultComment,PINコード入力,Input PIN Code
twitter.alreadyAuthenticatedDialog.title,確認,Confirm
twitter.alreadyAuthenticatedDialog.description,既に連携済みです,既に連携済みです
twitter.authenticateFailedDialog.title,エラー,Error
twitter.authenticateFailedDialog.description,PINコードの認証に失敗しました\n再度PINコードを取得してください,PINコードの認証に失敗しました\n再度PINコードを取得してください
twitter.illustrationSelectDialog.title,イラスト選択,Illustration Selection
twitter.illustrationSelectDialog.description,どちらのイラストを使用しますか？,Which Illustration would you like to use?
twitter.illustrationSelectDialog.illustrationType.card,私服衣装,Regular Outfit
twitter.illustrationSelectDialog.illustrationType.fesCard,ライブ衣装,Live Outfit
twitter.postDialog.title,Twitter投稿,Twitter Post
twitter.postDialog.authenticatingAccount,%{screenName} で認証中,%{screenName} で認証中
twitter.postDialog.textBoxDefaultComment,テキスト入力,Input Text
twitter.postDialog.description,イラストと上記の文章を含めてTwitterに投稿されます,イラストと上記の文章を含めてTwitterに投稿されます
twitter.postDialog.businessCardDescription,各種画像と上記の文章を含めてTwitterに投稿されます,各種画像と上記の文章を含めてTwitterに投稿されます
twitter.postDialog.textLengthCount,%{count}/140,%{count}/140
twitter.postDialog.staticComment.favoriteIdol,魅力たっぷりのアイドルをプロデュースしてみよう！担当はこのアイドル！,魅力たっぷりのアイドルをプロデュースしてみよう！担当はこのアイドル！
twitter.postDialog.staticComment.gashaResult,%{idolName}\nに出会ったよ！とっても素敵なアイドル！,%{idolName}\nに出会ったよ！とっても素敵なアイドル！
twitter.postDialog.staticComment.businessCard,よろしくお願いします。\n#シャニマス名刺,よろしくお願いします。\n#シャニマス名刺
twitter.postDialog.staticHashTag,#シャニマス #idolmaster,#シャニマス #idolmaster
twitter.tweetSuccessDialog.title,投稿完了,Complete Post
twitter.tweetSuccessDialog.description,投稿が完了しました,Post has been completed
twitter.tweetFailedDialog.title,エラー,Error
twitter.tweetFailedDialog.description,投稿に失敗しました\nもう一度投稿するか再度認証を行ってください,投稿に失敗しました\nもう一度投稿するか再度認証を行ってください
twitter.tweetFailedLimitRateDialog.title,エラー,Error
twitter.tweetFailedLimitRateDialog.description,ゲーム全体でのツイート数が\nTwitterの制限に達しているため\nツイートすることができません\n\nしばらく時間を置いてお試しください,ゲーム全体でのツイート数が\nTwitterの制限に達しているため\nツイートすることができません\n\nしばらく時間を置いてお試しください
useBanaCoinPop.title,使用確認,Confirm Use
useBanaCoinPop.checkDescription,enzaポイントをバナコインに変換する,enzaポイントをバナコインに変換する
workActivityTop.motivationLevel,モチベーションボーナス %{motivationLevel},Motivation Bonus %{motivationLevel}
workActivityTop.createItemTitle,お手製差し入れ作成,Create Handmade Goods
workActivityTop.createItemResultTitle,作成結果,Creation Result
workActivityTop.purchaseSlotDescription,営業枠を１つ解放します\nよろしいですか？,営業枠を１つ解放します\nよろしいですか？
workActivityTop.purchaseBilledOnlyNotice,有償フェザージュエルでのみ購入可能,有償フェザージュエルでのみ購入可能
workActivityTop.possessedJewelShortMessage,所持フェザージュエルが不足しています,所持フェザージュエルが不足しています
workActivityReady.startDialogTitle,営業開始確認,Confirm Job Start
workActivityReady.motivationLevel,モチベーションボーナス %{motivationLevel},Motivation Bonus %{motivationLevel}
workActivityReady.motivationBonusDetail,獲得経験値とファン数が%{bonusRate}倍,%{bonusRate}x Experience and Fan gain
workActivityReady.motivationBonusNone,モチベーションボーナスはありません,No Motivation Bonus
workActivityResult.skillListTitle,習得したサポートスキル,Acquired Support Skills
workActivityResult.totalFan.idolName,【%{name}】累計ファン人数,【%{name}】Total Fans
individualRanking.heldAt,%{time}まで,Until %{time}
individualRanking.tallyAt,%{time}まで,Until %{time}
individualRanking.rewardAt,%{time}から,Since %{time}
individualRanking.outOfRanking,圏外,Out
individualRanking.popup.title,ランキング報酬,Ranking Reward
individualRanking.popup.headingBorder,順位,Rank
individualRanking.popup.rewardBorder,%{start}位,%{start} Rank
individualRanking.popup.rewardBorderRange,%{start}位〜%{end}位,%{start} Rank〜%{end} Rank
individualRanking.popup.itemNameNum,%{type} ×%{num},%{type} ×%{num}
individualRanking.accumulatedPresentListPop.title,累計ファン数達成報酬一覧,Total Fan Count Reward List
individualRanking.accumulatedPresentListPop.needFan,%{fan} 人,%{fan} 
individualRanking.accumulatedPresentGetPopup.title,累計ファン数達成報酬,Total Fan Count Reward
individualRanking.accumulatedPresentGetPopup.text,以下のアイテムがプレゼントBOXに送られました,以下のアイテムがプレゼントBOXに送られました
individualRanking.characterRankingOutOfTermPop.title,集計期間外,Outside Result Period
individualRanking.characterRankingOutOfTermPop.text,現在は\n「%{name}」\nのランキング集計期間外です\n\n集計期間外にプロデュースや営業を達成しても\nイベントランキングのファン数には加算されません,現在は\n「%{name}」\nのランキング集計期間外です\n\n集計期間外にプロデュースや営業を達成しても\nイベントランキングのファン数には加算されません
staffItemPointSimple,シール,Seal
trust.rewardPop.innerLabel,信頼度はすべてのプロデュースアイドルで共通となります。,信頼度はすべてのプロデュースアイドルで共通となります。
trust.rewardPop.level,信頼度\rLv.%{level},Trust\r\nLv.%{level}
trust.rewardPop.rewardName,%{name}×%{num},%{name}×%{num}
trust.rewardPop.title,信頼度Lv.報酬（%{characterName}）,Trust Lv. Reward（%{characterName}）
eventPoint.genericName,ポイント,Point
eventPoint.game,イベントP,EventP
eventPoint.scenario,シナリオP,ScenarioP
eventPoint.fes,フェスP,FesP
eventPoint.box,ボックスP,BoxP
eventPoint.ranking,ランキングP,RankingP
eventShop.noShopNotice,期間内のショップがありません。,There are no current shops.
eventShop.noExchangeMerchandiseNotice,交換できるアイテムがありません。,No items can be exchanged.
exchangeItem.petitSelectionTicket.original,プチセレクションチケット,Petite Selection Ticket
exchangeItem.petitSelectionTicket.simple,チケット,Ticket
fes.result.score,%{value}pt,%{value}pt
fes.result.scoreDetail.appeal,%{appeal}×%{num},%{appeal}×%{num}
gasha.ticketGashaCount,x%{count},x%{count}
gasha.idolRate,%{ssrRate}%\n%{srRate}%\n%{rRate}%,%{ssrRate}%\n%{srRate}%\n%{rRate}%
gasha.supportIdolRate,%{ssrRate}%\n%{srRate}%\n%{rRate}%,%{ssrRate}%\n%{srRate}%\n%{rRate}%
gasha.ssrText,SSR,SSR
gasha.srText,SR,SR
gasha.rText,R,R
gasha.scoutGasha.ticketCount,x%{count},x%{count}
header.eventShop,イベントショップ,Event Shop 
mission.missionCountMessage,%{clearedMissionLen}/%{missionLen},%{clearedMissionLen}/%{missionLen}
mission.gaugeNumberMessage,%{progress}/%{progressMax},%{progress}/%{progressMax}
option.volumeTitle.bgm,BGM,BGM
option.volumeTitle.se,SE,SE
idolDetail.skill.level,Lv.%{level},Lv.%{level}
idolDetail.supportParameter.maxLevel,/%{level},/%{level}
idolDetail.profile.height,%{height}cm,%{height}cm
idolDetail.profile.weight,%{weight}kg,%{weight}kg
idolDetail.profile.bloodType,%{bloodType}型,Type %{bloodType}
idolDetail.profile.figure,%{bust}/%{waist}/%{hip},%{bust}/%{waist}/%{hip}
idolDetail.totalFan.fan,%{fan}人,%{fan}
idolDetail.produceDeck.lastFan,%{fan}人,%{fan}
idolDetail.produceDeck.detailPop.level,Lv.%{level}/%{limitLevel},Lv.%{level}/%{limitLevel}
idolDetail.tradeConfirmDialog.addition,+%{num},+%{num}
idolDetail.tradeResultDialog.idolName,%{idolName},%{idolName}
idolDetail.event.neverReadEventTitle,???,???
invitation.receivedMessage.singularNum,,
invitation.receivedMessage.multipleNum,×%{num},×%{num}
invitation.receivedMessage.message,・%{typeText}%{numText},・%{typeText}%{numText}
item.itemConfirm.name,%{name},%{name}
item.itemConfirm.beforeItemNum,%{num},%{num}
item.itemConfirm.afterItemNum,%{num},%{num}
item.itemConfirm.beforeValue,%{value},%{value}
item.itemConfirm.afterValue,%{afterValue}(+%{gainValue}),%{afterValue}(+%{gainValue})
item.itemResult.name,%{name},%{name}
item.itemResult.beforeItemNum,%{num},%{num}
item.itemResult.afterItemNum,%{num},%{num}
item.itemResult.beforeValue,%{beforeValue},%{beforeValue}
